Code,Name
1.1.1,Ellesmere and Devon Islands Ice Caps
1.1.2,Baffin and Torngat Mountains
10.1.1,Thompson-Okanogan Plateau
10.1.2,Columbia Plateau
10.1.3,Northern Basin and Range
10.1.4,Wyoming Basin
10.1.5,Central Basin and Range
10.1.6,Colorado Plateaus
10.1.7,Arizona/New Mexico Plateau
10.1.8,Snake River Plain
10.2.1,Mojave Basin and Range
10.2.2,Sonoran Desert
10.2.3,Baja Californian Desert
10.2.4,Chihuahuan Desert
11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands"
11.1.2,Central California Valley
11.1.3,Southern and Baja California Pine-Oak Mountains
12.1.1,Madrean Archipelago
12.1.2,"Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests"
12.2.1,Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest
13.1.1,Arizona/New Mexico Mountains
13.2.1,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests"
13.3.1,"Sierra Madre Oriental with Conifer, Oak, and Mixed Forests"
13.4.1,Interior Plains and Piedmonts with Grasslands and Xeric Shrub
13.4.2,"Hills and Sierras with Conifer, Oak, and Mixed Forests"
13.5.1,"Sierras of Jalisco and Michoacan with Conifer, Oak, and Mixed Forests"
13.5.2,"Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests"
13.6.1,"Central American Sierra Madre with Conifer, Oak, and Mixed Forests"
13.6.2,"Chiapas Highlands with Conifer, Oak, and Mixed Forest"
14.1.1,Coastal Plain with Low Tropical Deciduous Forest
14.1.2,Hills and Sierra with Low Tropical Deciduous Forest and Oak Forest
14.2.1,Northwestern Yucatan Plain with Low Tropical Deciduous Forest
14.3.1,Sinaloa Coastal Plain with Low Thorn Tropical Forest and Wetlands
14.3.2,Sinaloa and Sonora Hills and Canyons with Xeric Shrub and Low Tropical Deciduous Forest
14.4.1,Balsas Depression with Low Tropical Deciduous Forest and Xerophytic Shrub
14.4.2,Chiapas Depression with Low Deciduous and Medium Semi-Deciduous Tropical Forest
14.4.3,Valleys and Depressions with Xeric Shrub and Low Tropical Deciduous Forest
14.5.1,Tehuantepec Canyon and Plain with Low Tropical Deciduous Forest and Low Thorn Tropical Forest
14.5.2,South Pacific Hills and Piedmonts with Low Tropical Deciduous Forest
14.6.1,Los Cabos Plains and Hills with Low Tropical Deciduous Forest and Xeric Shrub
14.6.2,La Laguna Mountains with Oak and Conifer Forest
15.1.1,Gulf of Mexico Coastal Plain with Wetlands and High Tropical Rain Forest
15.1.2,Hills with Medium and High Evergreen Tropical Forest
15.2.1,Plain with Low and Medium Deciduous Tropical Forest
15.2.2,Plain with Medium and High Semi-Evergreen Tropical Forest
15.2.3,Hills with High and Medium Semi-Evergreen Tropical Forest
15.3.1,Los Tuxtlas Sierra with High Evergreen Tropical Forest
15.4.1,Southern Florida Coastal Plain
15.5.1,Nayarit and Sinaloa Plain with Low Thorn Tropical Forest
15.5.2,Jalisco and Nayarit Hills and Plains with Medium Semi-Evergreen Tropical Forest
15.6.1,Coastal Plain and Hills with High and Medium-High Evergreen Tropical Forest and Wetlands
2.1.1,Sverdrup Islands Lowland
2.1.2,Ellesmere Mountains and Eureka Hills
2.1.3,Parry Islands Plateau
2.1.4,Lancaster and Borden Peninsula Plateaus
2.1.5,Foxe Uplands
2.1.6,Baffin Uplands
2.1.7,Gulf of Boothia and Foxe Basin Plains
2.1.8,Victoria Island Lowlands
2.1.9,Banks Island and Amundsen Gulf Lowlands
2.2.1,Arctic Coastal Plain
2.2.2,Arctic Foothills
2.2.3,Subarctic Coastal Plains
2.2.4,Seward Peninsula
2.2.5,Bristol Bay-Nushagak Lowlands
2.2.6,Aleution Islands
2.3.1,Brooks Range/Richardson Mountains
2.4.1,Amundsen Plains
2.4.2,Aberdeen Plains
2.4.3,Central Ungava Peninsula and Ottawa and Belcher Islands
2.4.4,Queen Maud Gulf and Chantrey Inlet Lowlands
3.1.1,Interior Forested Lowlands and Uplands
3.1.2,Interior Bottomlands
3.1.3,Yukon Flats
3.2.1,Ogilvie Mountains
3.2.2,Mackenzie and Selwyn Mountains
3.2.3,Peel River and Nahanni Plateaus
3.3.1,Great Bear Plains
3.3.2,Hay and Slave River Lowlands
3.4.1,Kazan River and Selwyn Lake Uplands
3.4.2,La Grande Hills and New Quebec Central Plateau
